454394,12/2/02,29,157.08,1335
02-ES-061,12/4/02,2,9,70
02-0605-12-07,12/7/02,8,43.5,450
473387,12/9/02,6,55,295
02-373673,12/9/02,0,,
508451,12/20/02,28,192.5,1365
531826,12/29/02,40,159.25,2174
03-0019,1/3/03,0,,
03-0065,1/10/03,61,709.75,4434
03-0065-01-11,1/11/03,6,6,70
03-0089,1/14/03,0,,
03-0107,1/16/03,6,24.5,184
03-0107-01-18,1/18/03,23,160,1015
03-0132,1/19/03,6,89,510
03-0188,1/25/03,5,64.5,540
03-0198,1/26/03,0,,
03-ES-007,2/5/03,1,2.5,30
03-02-605-02-07,2/7/03,1,4,75
03-02-605-2-10,2/10/03,2,8.5,130
03-0346,2/17/03,20,80.5,1816
03-0378,2/21/03,2,2.5,30
03-ES-006-02-21,2/21/03,8,240,2025
03-0376,2/21/03,17,16.25,275
03-ES-007-02-22,2/22/03,8,238,1995
03-0403,2/27/03,3,10.5,0
03-0419,3/1/03,0,,
03-ES-006,3/2/03,3,39.5,160
03-0467,3/9/03,38,173.75,1485
03-ES-007-03-15,3/15/03,2,114,150
03-0540,3/18/03,29,122.5,1355
03-Texas,3/20/03,1,371.5,0
03-0609,3/29/03,56,283.92,3085
03-R-1,3/30/03,0,,
03-0628,3/31/03,60,390.25,2765
03-0659,4/4/03,14,7.5,95
03-0717,4/13/03,20,62,1379
03-0724,4/15/03,3,4,70
03-R-5143,4/26/03,0,,
03-R-5150,4/27/03,0,,
03-0819,4/27/03,38,247,3465
03-0979,5/17/03,1,2,10
03-0969,5/17/03,61,837.75,5415
03-1000,5/20/03,4,66,695
03-1077,5/26/03,0,,
03-1074,5/26/03,15,113.5,1565
02-1085,5/27/03,7,14.5,357
1202074,5/27/03,0,,
03-Center 1,5/30/03,0,,
03-center 2,5/31/03,0,,
03-1185,6/4/03,0,,
03-1191,6/5/03,9,18.5,257
03-171630,6/5/03,0,,
03-1206,6/6/03,0,,
03-1151,6/6/03,0,,
03-1222,6/7/03,6,6,0
03-1219,6/7/03,6,6,45
03-1215,6/7/03,0,,
03-1297,6/13/03,28,43.5,1022
03-goldbar,6/18/03,3,15,389
03-ES-025,6/20/03,17,119.5,696
03-191066,6/21/03,0,,
03-191982,6/22/03,0,,
03-196649,6/26/03,0,,
03-02-ES-052-6,6/28/03,38,329.7,1586
03-1438,6/28/03,3,36,856
03-1471,6/29/03,11,10.75,215
03-1484,6/30/03,20,79.25,1295
03-,7/1/03,12,32.5,482
03-1528,7/3/03,0,,
03-1530,7/3/03,0,,
2252,7/4/03,2,3.75,80
03-R1-5259,7/5/03,0,,
03-1551,7/5/03,0,,
03-1602,7/8/03,37,44.5,903
03-1585,7/8/03,8,37.5,320
03-1642,7/12/03,0,,
03-1643,7/12/03,34,189,1860
03-ES-029,7/12/03,28,189.25,1299
03-R1-5277,7/13/03,0,,
03-1644,7/13/03,0,,
03-1693,7/18/03,0,,
03-1708,7/19/03,17,23.5,360
03-1728,7/21/03,3,10.5,250
03-1751,7/23/03,13,140,1610
03-1784,7/25/03,10,13.5,211
03-1797,7/26/03,8,6,90
03-1796,7/26/03,24,142.5,2270
03-ES-033,7/26/03,33,296.97,1648
03-1801,7/27/03,15,23.75,320
03-1812,7/28/03,25,135.25,1565
04-ES-033-08-01,8/1/03,1,1.5,20
03-ES-036,8/5/03,31,258.25,1355
19784,8/8/03,18,46,600
03-federal,8/8/03,0,,
03-ES-037,8/11/03,7,123.5,1840
03-251921,8/11/03,0,,
34029,8/12/03,17,122.75,1905
03-ES-038,8/12/03,21,156,250
38412,8/13/03,1,1,50
43160,8/14/03,18,35.5,778
03-ES-038-MP35,8/16/03,23,161,1647
56309,8/17/03,17,26.75,315
55579,8/17/03,35,321.92,2600
03-ES-042,8/18/03,10,65.5,400
03-ES-044-2,8/20/03,0,,
03-ES-044-3,8/20/03,3,41.5,715
03-ES-044-1,8/20/03,4,58,625
71650,8/21/03,39,310.5,2689
03-ES-045,8/21/03,0,,
03-02-ES-052-22,8/22/03,5,24,225
85163,8/24/03,11,19,440
88815,8/25/03,0,,
03-ES-046,8/25/03,3,14,150
103060,8/29/03,9,21.5,380
99042,8/29/03,0,,
03-ES-045-08-30,8/30/03,32,266.75,1546
116573,8/31/03,0,,
03-275348,8/31/03,0,,
120591,9/1/03,0,,
03-ES-048,9/3/03,5,20.5,125
03-ES*037-09-3,9/3/03,5,37.5,570
03-ES-037-09-03,9/3/03,5,,0
03-ES-049-09-6-A,9/6/03,6,19,0
03-ES-049,9/6/03,25,176.75,1840
03-ES-049-09-6,9/6/03,6,38.5,0
03-ES-050,9/12/03,14,113.5,712
166612,9/13/03,2,2.5,0
172456,9/14/03,10,25,260
169899,9/14/03,8,73,860
188892,9/21/03,22,41.25,860
187796,9/21/03,17,79.5,1045
03-shootin,9/24/03,0,,
198754,9/24/03,0,,
03-ES-051,9/27/03,2,24.5,175
215190,9/30/03,3,11,190
214094,9/30/03,2,10.5,60
213364,9/30/03,10,40,504
219937,10/1/03,32,179.75,1820
03-ES-055,10/6/03,3,14.75,270
240026,10/7/03,3,5.5,110
03-R-036,10/12/03,0,,
262670,10/14/03,5,18.5,606
265958,10/16/03,0,,
03-ES-058,10/16/03,14,115.75,1207
264131,10/17/03,4,35,1075
280568,10/19/03,35,135.12,2198
278741,10/19/03,6,18,335
278376,10/20/03,0,,
294446,10/22/03,9,16.5,315
